Player,Tm,2024-25
Onyeka Okongwu,ATL,14000000 
Naz Reid,MIN,13986432 
Cade Cunningham,DET,13940809 
Daniel Gafford,DAL,13394160 
Grant Williams,CHO,13025250 
Dennis Schröder,BRK,13025250 
Isaiah Joe,OKC,12991650 
Herbert Jones,NOP,12976362 
Austin Reaves,LAL,12976362 
Obi Toppin,IND,12975000 
Cole Anthony,ORL,12900000 
De'Anthony Melton,GSW,12822000 
Kelly Olynyk,TOR,12804878 
Victor Wembanyama,SAS,12768960 
Josh Green,CHO,12654321 
Richaun Holmes,WAS,12648321 
Steven Adams,HOU,12600000 
Bobby Portis,MIL,12578286 
Zaccharie Risacher,ATL,12569040 
Brandon Clarke,MEM,12500000 
Marvin Bagley III,WAS,12500000 
Jalen Green,HOU,12483048 
Robert Williams,POR,12428571 
Paolo Banchero,ORL,12160800 
Coby White,CHI,12000000 
Wendell Carter Jr.,ORL,11950000 
Ivica Zubac,LAC,11743210 
P.J. Tucker,LAC,11539000 
Donte DiVincenzo,MIN,11445000 
Brandon Miller,CHO,11424600 
Terance Mann,LAC,11423077 
Alex Sarr,WAS,11245680 
Evan Mobley,CLE,11227657 
Larry Nance Jr.,ATL,11205000 
Matisse Thybulle,POR,11025000 
Aaron Nesmith,IND,11000000 
Gabe Vincent,LAL,11000000 
Maxi Kleber,DAL,11000000 
Moritz Wagner,ORL,11000000 
Chet Holmgren,OKC,10880640 
Chris Boucher,TOR,10810000 
Jarred Vanderbilt,LAL,10714286 
Aaron Wiggins,OKC,10514017 
Chris Paul,SAS,10460000 
Scoot Henderson,POR,10259160 
Isaac Okoro,CLE,10185186 
Scottie Barnes,TOR,10130980 
Reed Sheppard,HOU,10098960 
Mike Conley,MIN,9975962 
Jonas Valančiūnas,WAS,9900000 
Alex Caruso,OKC,9890000 
Jabari Smith Jr.,HOU,9770880 
Derrick Jones Jr.,LAC,9523810 
Al Horford,BOS,9500000 
Pat Connaughton,MIL,9423869 
Royce O'Neale,PHO,9375000 
T.J. McConnell,IND,9300000 
Amen Thompson,HOU,9249960 
Jalen Suggs,ORL,9188385 
Gary Payton II,GSW,9130000 
Stephon Castle,SAS,9105120 
Tre Jones,SAS,9104167 
Goga Bitadze,ORL,9057971 
Zeke Nnaji,DEN,8888889 
Keegan Murray,SAC,8809560 
Buddy Hield,GSW,8780488 
Kyle Anderson,GSW,8780488 
Naji Marshall,DAL,8571429 
Jalen Smith,CHI,8571429 
Georges Niang,CLE,8500000 
Ausar Thompson,DET,8376000 
Josh Giddey,CHI,8352367 
Josh Okogie,PHO,8250000 
Ron Holland,DET,8245320 
Caleb Martin,PHI,8149001 
Cody Martin,CHO,8120000 
Jock Landale,HOU,8000000 
Trey Lyles,SAC,8000000 
Jeff Green,HOU,8000000 
Kevon Looney,GSW,8000000 
Kelly Oubre Jr.,PHI,7983000 
Jaden Ivey,DET,7977240 
KJ Martin,PHI,7975000 
Paul Reed,DET,7723000 
Vasilije Micić,CHO,7723000 
Simone Fontecchio,DET,7692308 
Jonathan Kuminga,GSW,7636307 
Anthony Black,ORL,7607760 
Jae'Sean Tate,HOU,7565217 
Gary Harris,ORL,7500000 
Tidjane Salaün,CHO,7488720 
Bennedict Mathurin,IND,7245720 
Max Christie,LAL,7142857 
Franz Wagner,ORL,7007092 
Ayo Dosunmu,CHI,7000000 
Bilal Coulibaly,WAS,6945240 
Donovan Clingan,POR,6836400 
Payton Pritchard,BOS,6696429 
Kenrich Williams,OKC,6669000 
Shaedon Sharpe,POR,6614160 
Jevon Carter,CHI,6500000 
Davion Mitchell,TOR,6451077 
Saddiq Bey,WAS,6440678 
Jarace Walker,IND,6362520 
Rob Dillingham,MIN,6262920 
Dean Wade,CLE,6166667 
John Konchar,MEM,6165000 
Ziaire Williams,BRK,6133005 
Dyson Daniels,ATL,6059520 
Precious Achiuwa,NYK,6000000 
Malik Beasley,DET,6000000 
Chris Duarte,CHI,5893768 
Taylor Hendricks,UTA,5848680 
Moses Moody,GSW,5803269 
Zach Edey,MEM,5756880 
Corey Kispert,WAS,5705887 
Jeremy Sochan,SAS,5570040 
Cason Wallace,OKC,5555880 
Cody Williams,UTA,5469120 
Alperen Sengun,HOU,5424654 
Johnny Davis,WAS,5291160 
Jett Howard,ORL,5278320 
Dāvis Bertāns,CHO,5250000 
Haywood Highsmith,MIA,5200000 
Matas Buzelis,CHI,5195520 
Kris Dunn,LAC,5168000 
Dario Šarić,DEN,5168000 
Trey Murphy III,NOP,5159854 
Ousmane Dieng,OKC,5027040 
Dereck Lively II,DAL,5014560 
Drew Eubanks,UTA,5000000 
Andre Drummond,PHI,5000000 
Nick Richards,CHO,5000000 
Nikola Topić,OKC,4935960 
Tre Mann,CHO,4908373 
Jalen Williams,OKC,4775760 
Gradey Dick,TOR,4763760 
Jalen McDaniels,SAS,4741800 
Miles McBride,NYK,4710144 
Devin Carter,SAC,4689000 
Nicolas Batum,LAC,4668000 
Aaron Holiday,HOU,4668000 
Jalen Duren,DET,4536840 
Jordan Hawkins,NOP,4525680 
Jalen Johnson,ATL,4510905 
Carlton Carrington,WAS,4454880 
Isaiah Jackson,IND,4435381 
Nickeil Alexander-Walker,MIN,4312500 
Ochai Agbaji,TOR,4310280 
Kobe Bufkin,ATL,4299000 
Quentin Grimes,DAL,4296682 
Kel'el Ware,MIA,4231800 
Bones Hyland,LAC,4158439 
Mark Williams,CHO,4094280 
Keyonte George,UTA,4084200 
Cam Thomas,BRK,4041249 
Jared McCain,PHI,4020360 
Jaden Springer,BOS,4018363 
Dwight Powell,DAL,4000000 
Day'Ron Sharpe,BRK,3989122 
Santi Aldama,MEM,3960531 
Amir Coffey,LAC,3938271 
Jalen Hood-Schifino,LAL,3879840 
Kevin Love,MIA,3850000 
Dalton Knecht,LAL,3819120 
Tari Eason,HOU,3695160 
Jaime Jaquez Jr.,MIA,3685800 
Tristan Da Silva,ORL,3628440 
Brandin Podziemski,GSW,3519960 
Dalen Terry,CHI,3510480 
Svi Mykhailiuk,UTA,3500000 
Cody Zeller,ATL,3500000 
Ja'Kobe Walter,TOR,3465000 
Cam Whitmore,HOU,3379080 
Derrick Rose,MEM,3356271 
Jake LaRavia,MEM,3352680 
Jaylon Tyson,CLE,3326160 
Eric Gordon,PHI,3303771 
Cory Joseph,ORL,3303771 
Russell Westbrook,DEN,5631296 
Noah Clowney,BRK,3244080 
Malaki Branham,SAS,3217920 
Yves Missi,NOP,3193200 
Dante Exum,DAL,3150000 
Dariq Whitehead,BRK,3114240 
Nassir Little,PHO,3107143 
Christian Braun,DEN,3089640 
Johnny Juzang,UTA,3087519 
DaQuan Jeffries,CHO,3080918 
DaRon Holmes,DEN,3065640 
Josh Richardson,MIA,3051153 
Christian Wood,LAL,3036040 
Kyle Filipowski,UTA,3000000 
Julian Champagnie,SAS,3000000 
Kris Murray,POR,2990040 
Walker Kessler,UTA,2965920 
Shake Milton,BRK,2875000 
Olivier-Maxence Prosper,DAL,2870400 
David Roddy,ATL,2847240 
Torrey Craig,CHI,2845342 
Kyshawn George,WAS,2825520 
AJ Johnson,MIL,2795294 
Marcus Sasser,DET,2755080 
Dewayne Dedmon,DET,2748674 
MarJon Beauchamp,MIL,2733720 
Trendon Watford,BRK,2726603 
Ben Sheppard,IND,2663880 
Keita Bates-Diop,MIN,2654644 
Blake Wesley,SAS,2624280 
Dillon Jones,OKC,2622360 
Nick Smith Jr.,CHO,2587200 
Brice Sensabaugh,UTA,2571480 
Ty Jerome,CLE,2560975 
Julian Strawther,DEN,2552520 
Terrence Shannon Jr.,MIN,2546640 
Wendell Moore Jr.,DET,2537040 
Kobe Brown,LAC,2533920 
Ryan Dunn,PHO,2530800 
Isaiah Collier,UTA,2512680 
Baylor Scheierman,BOS,2494320 
Nikola Jović,MIA,2464200 
Jaxson Hayes,LAL,2463946 
Cam Reddish,LAL,2463946 
Patrick Baldwin Jr.,WAS,2448840 
Peyton Watson,DEN,2413560 
Russell Westbrook,UTA,5631296 
Charlie Brown Jr.,CHO,2237692 
Xavier Tillman Sr.,BOS,2237691 
Anthony Gill,WAS,2237691 
Kevin Porter Jr.,LAC,3237691 
James Wiseman,IND,2237691 
Garrison Mathews,ATL,2230253 
JaVale McGee,DAL,2208856 
Jeremiah Robinson-Earl,NOP,2196970 
Lindy Waters III,GSW,2196970 
Dalano Banton,POR,2196970 
Sam Merrill,CLE,2164993 
Duane Washington Jr.,CHO,2162607 
Luka Garza,MIN,2162606 
Neemias Queta,BOS,2162606 
Vit Krejci,ATL,2162606 
Keon Johnson,BRK,2162606 
Vince Williams Jr.,MEM,2120693 
Colby Jones,SAC,2120693 
Keon Ellis,SAC,2120693 
A.J. Green,MIL,2120693 
Sam Hauser,BOS,2092344 
Jericho Sims,NYK,2092344 
Jay Huff,MEM,2088033 
Tyler Kolek,NYK,2087519 
Scotty Pippen Jr.,MEM,2087519 
Patty Mills,UTA,2087519 
Garrett Temple,TOR,2087519 
Sandro Mamukelashvili,SAS,2087519 
Charles Bassey,SAS,2087519 
Alex Len,SAC,2087519 
Jordan McLaughlin,SAC,2087519 
Tyus Jones,PHO,2087519 
Monte Morris,PHO,2087519 
Mason Plumlee,PHO,2087519 
Damion Lee,PHO,2087519 
Guerschon Yabusele,PHI,2087519 
Reggie Jackson,PHI,4033748 
Kyle Lowry,PHI,2087519 
Cameron Payne,NYK,2087519 
Javonte Green,NOP,2087519 
Daniel Theis,NOP,2087519 
Joe Ingles,MIN,2087519 
Gary Trent Jr.,MIL,2087519 
Taurean Prince,MIL,2087519 
Delon Wright,MIL,2087519 
Thomas Bryant,MIA,2087519 
Alec Burks,MIA,2087519 
Yuta Watanabe,MEM,2087519 
Mo Bamba,LAC,2087519 
DeAndre Jordan,DEN,2087519 
Vlatko Čančar,DEN,2087519 
Markieff Morris,DAL,2087519 
Spencer Dinwiddie,DAL,2087519 
Tristan Thompson,CLE,2087519 
Seth Curry,CHO,2087519 
Talen Horton-Tucker,CHI,2087519 
Luke Kornet,BOS,2087519 
Doug McDermott,SAC,2087519 
Orlando Robinson,SAC,2087519 
PJ Dozier,MIN,2087519 
James Johnson,IND,2087519 
Taj Gibson,CHO,2087519 
Duop Reath,POR,2048780 
Andrew Nembhard,IND,2019699 
Jaden Hardy,DAL,2019699 
Kennedy Chandler,MEM,2019699 
Jabari Walker,POR,2019699 
Caleb Houstan,ORL,2019699 
Jaylin Williams,OKC,2019699 
Josh Minott,MIN,2019699 
Jose Alvarado,NOP,1988598 
Reggie Jackson,CHO,4033748 
Jaylen Nowell,NOP,1943552 
Sidy Cissoko,SAS,1891857 
Ricky Council IV,PHI,1891857 
GG Jackson II,MEM,1891857 
Jalen Pickett,DEN,1891857 
Hunter Tyson,DEN,1891857 
Julian Phillips,CHI,1891857 
Jordan Walsh,BOS,1891857 
Rayan Rupert,POR,1891857 
Leonard Miller,MIN,1891857 
Chris Livingston,MIL,1891857 
Maxwell Lewis,LAL,1891857 
Trayce Jackson-Davis,GSW,1891857 
Mouhamed Gueye,ATL,1891857 
Toumani Camara,POR,1891857 
Andre Jackson Jr.,MIL,1891857 
Gui Santos,GSW,1891857 
Craig Porter Jr.,CLE,1891857 
Jalen Wilson,BRK,1891857 
Jonathan Mogbo,TOR,1862265 
Jamal Shead,TOR,1862265 
Johnny Furphy,IND,1850842 
Pacome Dadiet,NYK,1808080 
Karlo Matković,NOP,1407153 
Ricky Rubio,CLE,1301031 
Eric Bledsoe,POR,1300000 
Bobi Klintman,DET,1257153 
Tyler Smith,MIL,1157153 
Oso Ighodaro,PHO,1157153 
Jaylen Wells,MEM,1157153 
Bronny James,LAL,1157153 
Cam Christie,LAC,1157153 
Adem Bona,PHI,1157153 
Malevy Leons,OKC,1157153 
Antonio Reeves,NOP,1157153 
Pelle Larsson,MIA,1157153 
Kevin Porter Jr.,OKC,3237691 
Joshua Primo,LAC,1000000 
E.J. Liddell,PHO,706898 
Nik Stauskas,IND,702310 
Ryan Rollins,WAS,600000 
Juwan Morgan,IND,576229 
Malik Fitts,IND,555216 
Mamadi Diakite,MEM,464050 
Didi Louzada,POR,268032 
AJ Griffin,HOU,250000 
Javon Freeman-Liberty,TOR,100000 
