Player,Tm2024-25,Pos
Tristan Da Silva,ORL,"3628440",SF
Brandin Podziemski,GSW,"3519960",SG
Dalen Terry,CHI,"3510480",SG
Svi Mykhailiuk,UTA,"3500000",SF
Cody Zeller,ATL,"3500000",C
Ja'Kobe Walter,TOR,"3465000",SG
Cam Whitmore,HOU,"3379080",SF
Derrick Rose,MEM,"3356271",PG
Jake LaRavia,MEM,"3352680",PF
Jaylon Tyson,CLE,"3326160",SG
Eric Gordon,PHI,"3303771",SG
Cory Joseph,ORL,"3303771",PG
Russell Westbrook,DEN,"5631296",PG
Noah Clowney,BRK,"3244080",PF
Malaki Branham,SAS,"3217920",SG
Yves Missi,NOP,"3193200",C
Dante Exum,DAL,"3150000",PG
Dariq Whitehead,BRK,"3114240",SF
Nassir Little,PHO,"3107143",SF
Christian Braun,DEN,"3089640",SG
Johnny Juzang,UTA,"3087519",SG
DaQuan Jeffries,CHO,"3080918",SG
DaRon Holmes,DEN,"3065640",PF
Josh Richardson,MIA,"3051153",SG
Christian Wood,LAL,"3036040",PF
Kyle Filipowski,UTA,"3000000",C
Julian Champagnie,SAS,"3000000",SF
Kris Murray,POR,"2990040",SF
Walker Kessler,UTA,"2965920",C
Shake Milton,BRK,"2875000",SG
Olivier-Maxence Prosper,DAL,"2870400",PF
David Roddy,ATL,"2847240",PF
Torrey Craig,CHI,"2845342",SF
Kyshawn George,WAS,"2825520",SG
AJ Johnson,MIL,"2795294",SG
Marcus Sasser,DET,"2755080",PG
Dewayne Dedmon,DET,"2748674",C
MarJon Beauchamp,MIL,"2733720",SF
Trendon Watford,BRK,"2726603",PF
Ben Sheppard,IND,"2663880",SG
Keita Bates-Diop,MIN,"2654644",SF
Blake Wesley,SAS,"2624280",SG
Dillon Jones,OKC,"2622360",SF
Nick Smith Jr.,CHO,"2587200",SG
Brice Sensabaugh,UTA,"2571480",SF
Ty Jerome,CLE,"2560975",SG
Julian Strawther,DEN,"2552520",SG
Terrence Shannon Jr.,MIN,"2546640",SG
Wendell Moore Jr.,DET,"2537040",SG
Kobe Brown,LAC,"2533920",PF
Ryan Dunn,PHO,"2530800",SF
Isaiah Collier,UTA,"2512680",PG
Baylor Scheierman,BOS,"2494320",SG
Nikola Jović,MIA,"2464200",PF
Jaxson Hayes,LAL,"2463946",C
Cam Reddish,LAL,"2463946",SF
Patrick Baldwin Jr.,WAS,"2448840",SF
Peyton Watson,DEN,"2413560",SG
Russell Westbrook,UTA,"5631296",PG
Charlie Brown Jr.,CHO,"2237692",SG
Xavier Tillman Sr.,BOS,"2237691",PF
Anthony Gill,WAS,"2237691",PF
Kevin Porter Jr.,LAC,"3237691",SG
James Wiseman,IND,"2237691",C
Garrison Mathews,ATL,"2230253",SG
JaVale McGee,DAL,"2208856",C
Jeremiah Robinson-Earl,NOP,"2196970",PF
Lindy Waters III,GSW,"2196970",SG
Dalano Banton,POR,"2196970",SF
Sam Merrill,CLE,"2164993",SG
Duane Washington Jr.,CHO,"2162607",SG
Luka Garza,MIN,"2162606",PF
Neemias Queta,BOS,"2162606",C
Vit Krejci,ATL,"2162606",PG
Keon Johnson,BRK,"2162606",SG
Vince Williams Jr.,MEM,"2120693",SG
Colby Jones,SAC,"2120693",SG
Keon Ellis,SAC,"2120693",SG
A.J. Green,MIL,"2120693",SG
Sam Hauser,BOS,"2092344",PF
Jericho Sims,NYK,"2092344",C
Jay Huff,MEM,"2088033",C
Tyler Kolek,NYK,"2087519",PG
Scotty Pippen Jr.,MEM,"2087519",PG
Patty Mills,UTA,"2087519",PG
Garrett Temple,TOR,"2087519",SG
Sandro Mamukelashvili,SAS,"2087519",PF
Charles Bassey,SAS,"2087519",C
Alex Len,SAC,"2087519",C
Jordan McLaughlin,SAC,"2087519",PG
Tyus Jones,PHO,"2087519",PG
Monte Morris,PHO,"2087519",PG
Mason Plumlee,PHO,"2087519",C
Damion Lee,PHO,"2087519",SG
Guerschon Yabusele,PHI,"2087519",PF
Reggie Jackson,PHI,"4033748",PG
Kyle Lowry,PHI,"2087519",PG
Cameron Payne,NYK,"2087519",PG
Javonte Green,NOP,"2087519",SG
Daniel Theis,NOP,"2087519",C
Joe Ingles,MIN,"2087519",SF
Gary Trent Jr.,MIL,"2087519",SG
Taurean Prince,MIL,"2087519",PF
Delon Wright,MIL,"2087519",PG
Thomas Bryant,MIA,"2087519",C
Alec Burks,MIA,"2087519",SG
Yuta Watanabe,MEM,"2087519",SF
Mo Bamba,LAC,"2087519",C
DeAndre Jordan,DEN,"2087519",C
Vlatko Čančar,DEN,"2087519",PF
Markieff Morris,DAL,"2087519",PF
Spencer Dinwiddie,DAL,"2087519",PG
Tristan Thompson,CLE,"2087519",PF
Seth Curry,CHO,"2087519",SG
Talen Horton-Tucker,CHI,"2087519",SG
Luke Kornet,BOS,"2087519",C
Doug McDermott,SAC,"2087519",SF
Orlando Robinson,SAC,"2087519",C
PJ Dozier,MIN,"2087519",SG
James Johnson,IND,"2087519",PF
Taj Gibson,CHO,"2087519",PF
Duop Reath,POR,"2048780",C
Andrew Nembhard,IND,"2019699",SG
Jaden Hardy,DAL,"2019699",SG
Kennedy Chandler,MEM,"2019699",PG
Jabari Walker,POR,"2019699",SF
Caleb Houstan,ORL,"2019699",SF
Jaylin Williams,OKC,"2019699",C
Josh Minott,MIN,"2019699",SF
Jose Alvarado,NOP,"1988598",PG
Reggie Jackson,CHO,"4033748",PG
Jaylen Nowell,NOP,"1943552",SG
Sidy Cissoko,SAS,"1891857",SF
Ricky Council IV,PHI,"1891857",SG
GG Jackson II,MEM,"1891857",PF
Jalen Pickett,DEN,"1891857",SG
Hunter Tyson,DEN,"1891857",PF
Julian Phillips,CHI,"1891857",SF
Jordan Walsh,BOS,"1891857",SF
Rayan Rupert,POR,"1891857",SG
Leonard Miller,MIN,"1891857",SF
Chris Livingston,MIL,"1891857",SF
Maxwell Lewis,LAL,"1891857",SF
Trayce Jackson-Davis,GSW,"1891857",PF
Mouhamed Gueye,ATL,"1891857",PF
Toumani Camara,POR,"1891857",PF
Andre Jackson Jr.,MIL,"1891857",SG
Gui Santos,GSW,"1891857",PF
Craig Porter Jr.,CLE,"1891857",PG
Jalen Wilson,BRK,"1891857",PF
Jonathan Mogbo,TOR,"1862265",PF
Jamal Shead,TOR,"1862265",PG
Johnny Furphy,IND,"1850842",SG
Pacome Dadiet,NYK,"1808080",SG
Karlo Matković,NOP,"1407153",PF
Ricky Rubio,CLE,"1301031",PG
Eric Bledsoe,POR,"1300000",PG
Bobi Klintman,DET,"1257153",SF
Tyler Smith,MIL,"1157153",PF
Oso Ighodaro,PHO,"1157153",PF
Jaylen Wells,MEM,"1157153",SF
Bronny James,LAL,"1157153",SG
Cam Christie,LAC,"1157153",SG
Adem Bona,PHI,"1157153",PF
Malevy Leons,OKC,"1157153",SF
Antonio Reeves,NOP,"1157153",SG
Pelle Larsson,MIA,"1157153",SG
Kevin Porter Jr.,OKC,"3237691",SG
Joshua Primo,LAC,"1000000",SG
E.J. Liddell,PHO,"706898",PF
Nik Stauskas,IND,"702310",SG
Ryan Rollins,WAS,"600000",PG
Juwan Morgan,IND,"576229",PF
Malik Fitts,IND,"555216",PF
Mamadi Diakite,MEM,"464050",PF
Didi Louzada,POR,"268032",SF
AJ Griffin,HOU,"250000",SF
Javon Freeman-Liberty,TOR,"100000",PG
